;year;rgdpmad;rgdpbarro;gdp;cpi;eq_tr;bond_tr;bill_rate
2567;1870;2444,64367;6,6571969;7,812;10,5768321;;;0,06
2568;1871;2502,84685;6,78115057;7,665;9,9031279;;0,06511929;0,06
2569;1872;2540,93886;6,88364877;8,309;9,9031279;0,1329114;0,06148463;0,06
2570;1873;2604,25256;7,03932807;8,837;9,70069275;-0,0631164;0,06627899;0,06
2571;1874;2527,25504;6,79935214;8,563;9,2294237;0,10180996;0,06195678;0,06
2572;1875;2598,58548;6,99194299;8,239;8,8925716;0,02863436;0,06966715;0,06
2573;1876;2570,35453;6,92666141;8,388;8,69013644;-0,1121281;-0,0122258;0,06
2574;1877;2595,39356;7,01065298;8,604;8,48851102;-0,0391061;-0,0107216;0,06
2575;1878;2645,96171;7,16795924;8,46;8,08364071;0,11692307;0,05470082;0,05
2576;1879;2909,4332;7,91066444;9,449;8,08364071;0,48405796;0,05479337;0,05
2577;1880;3183,95497;8,68224809;10,462;8,28607586;0,23983739;0,1277549;0,05
2578;1881;3215,44943;8,78342438;11,74;8,28607586;0,08390412;0,02161765;0,04
2579;1882;3337,95991;9,10078239;12,331;8,28607586;0,0249584;0,06539477;0,04
2580;1883;3338,58703;9,05756639;12,435;8,15165892;-0,0291096;0,05159592;0,04
2581;1884;3320,2806;8,98943762;11,896;7,94922376;-0,1292135;0,02189814;0,04
2582;1885;3269,95904;8,84799418;11,705;7,81480682;0,25345623;0,05115439;0,04
2583;1886;3294,06506;8,93961211;12,297;7,61237166;0,12692307;0,03907356;0,04
2584;1887;3368,25461;9,17409707;13,273;7,67958013;-0,0212766;0,01382476;0,04
2585;1888;3281,6637;8,93706999;14;7,67958013;0,01897533;0,05468265;0,04
2586;1889;3413,28044;9,30344004;13,987;7,47795472;0,07782101;0,01213143;0,04
2587;1890;3391,89828;9,26205436;15,223;7,34272803;-0,093985;-0,0167843;0,04
2588;1891;3467,26365;9,36211212;15,558;7,34272803;0,22391304;0,01893403;0,04
2589;1892;3727,99559;9,58469997;16,514;7,34272803;0,06284658;0,01293757;0,04
2590;1893;3478,41198;9,35448577;15,566;7,27551956;-0,154265;0,0294477;0,04
2591;1894;3313,79958;8,88175351;14,28;6,93866746;0,02267574;0,0553065;0,04
2592;1895;3644,22035;9,77200323;15,754;6,80425051;0,04883721;0,00725565;0,04
2593;1896;3504,42807;9,39475292;15,643;6,80425051;0,01851852;0,04886299;0,04
2594;1897;3769,4833;9,99672646;16,309;6,7362323;0,16824645;0,049911;0,04
2595;1898;3779,69175;10,0737018;18,263;6,7362323;0,23157895;0,02960411;0,04
2596;1899;4051,36706;11,0810923;19,694;6,7362323;0,10265487;0,0521828;0,035
2597;1900;4090,78729;11,1054966;20,766;6,80425051;0,19102989;0,0430327;0,035
2598;1901;4463,86319;12,2479245;22,484;6,87145898;0,20378456;-0,0011637;0,04
2599;1902;4420,63015;12,2083691;24,294;6,93866746;0,05408805;0,01945633;0,04
2600;1903;4550,89437;12,3323228;26,18;7,14110261;-0,1403727;0,01500449;0,035
2601;1904;4409,53202;12,5645707;25,928;7,20831109;0,30289194;0,01102513;0,035
2602;1905;4642,16389;13,4648872;29,066;7,14110261;0,19636364;0,0226662;0,04
2603;1906;5079,12424;13,7562139;31,336;7,27551956;0,07337526;0,02960542;0,035
2604;1907;5064,89043;13,2921248;34,178;7,61237166;-0,2876016;-0,0244069;0,04
2605;1908;4560,61597;12,3050713;30,423;7,47795472;0,43531203;0,03716139;0,04
2606;1909;5017,49599;13,4929522;32,54;7,34272803;0,18936877;0,01282384;0,04
2607;1910;4963,7357;13,2671104;33,746;7,67958013;-0,0757282;0,0359802;0,035
2608;1911;5045,6839;13,4798348;34,675;7,67958013;0,05856354;0,03462075;0,035
2609;1912;5200,69847;14,0479474;37,745;7,88201529;0,08232711;0,02021251;0,035
2610;1913;5300,72946;14,3226995;39,517;8,01643224;-0,0916844;0,00908129;0,035
2611;1914;4799,20114;12,9593108;36,831;8,0974063;-0,0335821;0,01086653;0,035
2612;1915;4864,19262;13,2515526;39,048;8,17838036;0,34829932;0,044905;0,035
2613;1916;5458,6929;15,2149829;50,117;8,82617287;0,09282701;0,03297708;0,035
